ISO3,Year,food_share_pct,alcohol_share_pct,clothing_share_pct,housing_share_pct,household_share_pct,health_share_pct,transport_share_pct,communication_share_pct,recreation_share_pct,education_share_pct,restaurants_share_pct,other_share_pct
AUS,2023,9.66,3.17,3.6,23.67,4.35,7.07,11.1,1.85,10.28,3.46,8.58,13.2
AUT,2022,9.99,3.39,5.07,24.07,6.68,3.69,11.81,1.87,9.89,0.94,13.08,9.53
BEL,2022,12.19,3.99,4.19,25.71,5.95,6.67,9.61,2.11,7.68,0.37,6.75,14.77
BGR,2022,20.76,4.84,3.5,18.43,6.03,6.46,13.68,4.75,7.12,1.33,6.81,6.3
CAN,2023,9.59,3.41,3.69,24.53,5.23,4.61,15.41,2.74,7.92,1.85,7.4,13.61
CHL,2023,21.2,3.13,3.63,15.53,5.52,8.59,11.45,3.16,6.14,3.49,6.54,11.62
COL,2023,22.55,3.44,5.16,13.57,3.67,8.31,7.29,2.45,8.6,3.48,11.53,9.96
CRI,2021,22.27,1.96,2.98,15.61,5.47,7.12,11.97,3.41,7.47,4.56,4.01,13.16
CZE,2022,15.8,7.78,4.18,26.0,5.6,2.73,10.01,2.8,9.11,0.56,7.44,8.0
DEU,2022,11.53,3.14,4.07,24.6,6.93,5.27,13.53,2.2,9.98,0.8,5.38,12.57
DNK,2022,11.8,3.56,4.09,29.07,5.45,2.78,10.82,1.68,11.34,0.82,6.7,11.89
ESP,2022,13.05,4.06,3.48,22.28,4.4,3.97,11.94,2.37,8.02,1.27,14.87,10.29
EST,2022,19.06,6.92,5.88,22.45,4.66,3.22,11.08,2.23,8.88,0.46,7.15,8.0
FIN,2023,12.53,4.26,3.79,29.65,4.21,4.18,11.14,2.38,8.86,0.32,6.66,12.02
FRA,2022,13.21,3.71,3.27,26.08,4.53,3.98,13.52,2.34,7.92,0.51,8.07,12.3
GBR,2023,8.58,3.09,4.9,26.48,4.73,1.94,12.94,1.8,9.58,2.42,10.75,12.8
GRC,2023,15.24,3.89,3.21,21.45,2.6,4.09,13.32,3.37,5.83,1.91,15.6,9.02
HRV,2023,17.51,7.56,4.5,14.8,4.69,5.09,8.22,3.89,8.85,0.7,17.0,7.04
HUN,2022,16.71,6.98,3.02,22.63,4.99,3.72,11.83,2.27,7.49,1.49,9.31,9.59
IRL,2023,8.58,3.98,3.93,26.28,4.29,4.57,9.63,2.23,7.29,1.35,16.15,11.72
ISL,2023,12.66,3.42,3.26,22.39,4.38,2.5,14.25,2.43,11.65,0.84,15.11,7.1
ISR,2023,15.98,2.64,2.18,26.15,5.01,3.37,13.87,2.11,6.38,2.77,6.57,12.97
ITA,2023,14.7,3.81,5.22,22.82,6.09,3.42,12.75,1.86,6.81,0.77,9.82,11.91
LTU,2023,19.01,5.39,4.46,16.62,6.07,4.9,15.59,2.29,8.39,0.56,5.13,12.04
LUX,2023,9.61,9.78,4.04,20.36,6.42,4.35,14.34,1.23,6.9,0.92,7.09,14.97
LVA,2022,19.66,7.11,5.31,21.29,4.08,4.51,11.34,2.5,9.75,1.51,6.39,6.56
MEX,2023,25.52,2.19,1.94,16.2,5.79,2.98,20.46,2.19,4.7,1.32,5.75,10.95
NLD,2022,11.03,2.88,4.86,22.16,6.1,3.1,11.46,2.08,9.07,0.55,8.69,12.63
NZL,2023,12.27,4.36,3.52,25.47,5.07,2.83,12.62,1.71,8.86,1.41,6.71,10.75
POL,2023,18.75,6.0,4.52,20.83,4.76,6.19,12.95,1.87,6.13,0.7,4.22,13.07
PRT,2022,17.33,3.12,5.21,17.31,5.06,5.64,12.1,2.3,5.02,1.5,15.06,10.37
ROU,2022,25.49,6.67,6.42,18.79,7.63,7.06,11.31,3.43,6.14,1.26,3.65,4.3
SVK,2023,19.8,4.97,3.86,28.51,6.59,2.69,5.46,2.86,9.29,1.37,6.49,8.1
SVN,2022,13.97,4.5,5.52,18.85,5.03,4.25,17.48,2.47,8.89,1.11,7.76,10.16
SWE,2022,12.78,3.15,3.95,25.28,6.49,2.9,12.75,3.04,11.55,0.29,7.0,10.83
USA,2023,6.68,1.87,2.94,18.68,4.25,20.77,9.9,1.85,9.84,1.86,7.48,13.88
