ISO3,Country,Year,Project_007_Region,Official_Region,Sub_Region,population_total,urban_population_pct,population_65_plus_pct,age_dependency_ratio_pct,gdp_current_usd,gdp_per_capita_current_usd,gdp_per_capita_ppp_current_intl,household_consumption_expenditure_current_usd,household_consumption_expenditure_constant_2015_usd,household_consumption_expenditure_per_capita_constant_2015_usd,consumption_per_capita_check_usd,household_consumption_pct_of_gdp,consumption_growth_yoy_real_pct,consumption_cagr_2013_2023_real_pct,cagr_start_year,cagr_end_year,inflation_cpi_annual_pct,unemployment_pct_of_labor_force,internet_users_pct_of_population,global_consumption_share_pct,regional_consumption_share_pct
ABW,Aruba,2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,107359.0,61.8351492675589,16.3690434830945,50.499754678629,3746573413.07565,34897.6183932009,47521.8765471843,2048572011.17318,,,19081.511668077947,54.6785498456698,,,,,,,,0.00346469817069606,0.0464495386653129
AFG,Afghanistan,2023,South & Southeast Asia,"Middle East, North Africa, Afghanistan & Pakistan",Southern Asia,41454761.0,25.4730529631167,2.37753752819851,83.8361728436287,17152234636.8715,413.757894705303,2203.53761869487,16821368715.0838,,,405.776521424977,98.0710039899031,,,,,-4.64470870797775,14.008,15.92840004,0.02844955661694232,0.35556795739910646
AGO,Angola,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,36749906.0,69.8515032220457,2.81144936806097,90.0552252752265,106042349567.303,2885.51349130806,9549.79313920752,62470228482.0689,101480425983.909,2761.37919873614,1699.8745107557254,58.9106415851529,13.746071951436424,5.877043034257001,2013.0,2023.0,13.6441017767715,14.051,37.88589859,0.10565432172474011,3.772989506504338
ALB,Albania,2023,Europe,Europe & Central Asia,Southern Europe,2411658.0,58.2106086137857,16.3020000675759,50.0239189058889,23491242727.4082,9740.7023414631,24847.5057998051,16433006826.9661,10615899818.6736,4401.90931660859,6813.987234908972,69.9537568857223,2.7437506785577437,2.365629089191401,2013.0,2023.0,4.75834555150038,10.669,83.13559161,0.027792729951347645,0.11630449734934376
ARE,United Arab Emirates,2023,Middle East,"Middle East, North Africa, Afghanistan & Pakistan",Western Asia,10483751.0,85.6680699002526,1.69563170962521,22.0026623838262,522622268401.125,49850.6945082084,78019.5228244288,234510006807.352,240145181814.662,22906.4179237624,22368.902772237914,44.8717976608222,14.109895992318444,5.9380907504454905,2013.0,2023.0,1.62670837213248,2.151,100.0,0.39662085939075453,10.179808907139137
ARG,Argentina,2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,45538401.0,92.1945132257907,12.2030217969226,52.4243366823125,649461687959.174,14261.8465667948,30246.4069577192,426275460474.42,395024194979.691,8674.52932701109,9360.791137010277,65.6351973299487,0.9718203236797507,-0.009008087279804844,2013.0,2023.0,133.488935594175,6.139,89.22897166,0.7209489342151759,9.665414920924045
ARM,Armenia,2023,Middle East,Europe & Central Asia,Western Asia,2964300.0,65.6956882008852,13.2110458915952,48.7129653645231,24185982215.6543,8159.08720967996,21551.7793903081,16050194404.8104,10581086980.6675,3569.50611634028,5414.497319707992,66.3615571271776,6.400000000000228,1.9189663388089695,2013.0,2023.0,1.98041877615554,12.405,79.99663036,0.0271452889575585,0.696720426508816
ASM,American Samoa,2022,Oceania,East Asia & Pacific,Polynesia,48342.0,81.794797704649,7.1036273181428,54.2501595405233,871000000.0,18017.4589383973,,621000000.0,500174672.489083,10346.5862498259,12845.972446319971,71.2973593570609,-7.948243992606252,1.3853454195236425,2013.0,2022.0,,,,0.0010502816363141094,0.05926696457392248
AUS,Australia,2023,Oceania,East Asia & Pacific,Australia and New Zealand,26659922.0,87.4866955653765,17.384024966198,54.8330501591457,1734451264655.6,65058.3773146674,72272.7092136683,876316816756.182,909239372579.777,34105.1025047927,32870.19432225578,50.524153351186,6.58116873731962,2.260253548651181,2013.0,2023.0,5.59701792296707,3.668,96.1160965,1.482092528554355,83.63387718876193
AUT,Austria,2023,Europe,Europe & Central Asia,Western Europe,9131761.0,69.2265358276021,20.1640196753077,52.5940837665189,516670509628.876,56579.504175468,74261.1961105071,267068071145.689,212779754245.907,23301.0647394196,29246.064493550475,51.690209943959,-0.22907354976999805,0.8291333672691303,2013.0,2023.0,7.81413417002831,5.264,95.33467117,0.45168549238348993,1.8901725107110374
