DATAFLOW,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FRA,S14,S1,P31DC,_Z,_Z,_T,XDC,V,N,T0117,2021,1271245,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP054,XDC,V,N,T0117,2021,472,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP053,XDC,V,N,T0117,2021,957,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP023,XDC,V,N,T0117,2021,347,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP07,XDC,V,N,T0117,2021,13099,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP096,XDC,V,N,T0117,2021,549,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP08,XDC,V,N,T0117,2021,2985,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP094,XDC,V,N,T0117,2021,3815,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP01,XDC,V,N,T0117,2021,14961,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP123,XDC,V,N,T0117,2021,605,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP071,XDC,V,N,T0117,2021,3860,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP126,XDC,V,N,T0117,2021,3248,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP073,XDC,V,N,T0117,2021,1415,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP125,XDC,V,N,T0117,2021,3008,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP055,XDC,V,N,T0117,2021,747,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP11,XDC,V,N,T0117,2021,6223,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP05,XDC,V,N,T0117,2021,5887,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP10,XDC,V,N,T0117,2021,438,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP124,XDC,V,N,T0117,2021,2481,,F,1,A,6,EUR
