iso3,year,political_stability_score
AFG,2023,25.0303745
AFG,2022,24.0573058
AFG,2021,24.0335589
AFG,2020,21.6583487
AFG,2019,21.6637858
AFG,2018,21.7827865
AFG,2017,21.2442702
AFG,2016,23.4723617
AFG,2015,23.5106211
AFG,2014,26.2877904
AFG,2013,19.7786501
ALB,2023,66.3155692
ALB,2022,66.0915577
ALB,2021,66.3035591
ALB,2020,65.8092347
ALB,2019,65.9691253
ALB,2018,68.4601043
ALB,2017,68.6928685
ALB,2016,68.7294282
ALB,2015,68.0342241
ALB,2014,70.3506685
ALB,2013,62.5947269
DZA,2023,53.3951013
DZA,2022,52.1017611
DZA,2021,50.5039858
DZA,2020,50.7988142
DZA,2019,47.7447231
DZA,2018,55.0130534
DZA,2017,50.0169672
DZA,2016,46.6846903
DZA,2015,47.9651356
DZA,2014,45.7908836
DZA,2013,43.0357222
ASM,2023,87.2261384
ASM,2022,87.2152796
ASM,2021,87.148494
ASM,2020,87.1872948
ASM,2019,87.1971851
ASM,2018,87.4284341
ASM,2017,87.3419568
ASM,2016,87.3296631
ASM,2015,87.4300005
ASM,2014,87.4702977
ASM,2013,82.6458541
AND,2023,92.3747104
AND,2022,92.3660278
AND,2021,92.3126307
AND,2020,92.3436526
AND,2019,92.3515614
AND,2018,88.5958436
AND,2017,88.5290665
AND,2016,88.5195742
AND,2015,88.5970547
AND,2014,88.6281722
AND,2013,88.4880365
AGO,2023,60.5450271
AGO,2022,56.6462987
AGO,2021,52.3383191
AGO,2020,54.9149657
AGO,2019,58.7080974
AGO,2018,58.96248
AGO,2017,56.7179099
AGO,2016,58.4702515
AGO,2015,56.3440261
AGO,2014,57.1993992
AGO,2013,55.4732915
ATG,2023,84.3288462
ATG,2022,84.320676
ATG,2021,81.5200195
ATG,2020,81.5492154
ATG,2019,81.5566579
ATG,2018,79.3888593
ATG,2017,76.3931377
ATG,2016,78.5409713
ATG,2015,81.5439286
ATG,2014,81.9376032
ATG,2013,81.7497295
ARG,2023,65.539658
ARG,2022,66.8790416
ARG,2021,67.4693134
ARG,2020,66.8381534
ARG,2019,66.8707383
ARG,2018,67.9516636
ARG,2017,69.9838411
ARG,2016,69.1957678
ARG,2015,65.3668058
ARG,2014,65.6687607
ARG,2013,66.4491046
ARM,2023,57.3152603
ARM,2022,59.8197748
ARM,2021,57.3211381
ARM,2020,60.8795173
ARM,2019,67.0622606
ARM,2018,65.8279441
ARM,2017,60.7427842
ARM,2016,59.239383
ARM,2015,63.5155345
ARM,2014,61.8660138
ARM,2013,65.4130594
ABW,2023,88.7188328
ABW,2022,88.710743
ABW,2021,88.6609843
ABW,2020,88.6898932
ABW,2019,88.6972605
ABW,2018,88.683848
ABW,2017,86.5061643
ABW,2016,86.49981
ABW,2015,86.551668
ABW,2014,86.5724939
ABW,2013,88.3450703
