iso3,year,regulatory_quality_score
AFG,2023,32.3008157
AFG,2022,32.4204451
AFG,2021,32.6259609
AFG,2020,34.3181413
AFG,2019,34.7350241
AFG,2018,34.3129099
AFG,2017,32.5233931
AFG,2016,33.399475
AFG,2015,38.0317131
AFG,2014,36.2007127
AFG,2013,34.6366704
ALB,2023,55.8603547
ALB,2022,55.1084617
ALB,2021,54.7847817
ALB,2020,54.5543139
ALB,2019,56.309621
ALB,2018,56.6600998
ALB,2017,56.6059076
ALB,2016,55.8766261
ALB,2015,55.5631739
ALB,2014,55.7544291
ALB,2013,53.854301
DZA,2023,42.4720793
DZA,2022,41.0115322
DZA,2021,39.5329048
DZA,2020,37.8133673
DZA,2019,37.0539655
DZA,2018,38.4567671
DZA,2017,39.9443843
DZA,2016,40.280713
DZA,2015,40.4991062
DZA,2014,38.6433809
DZA,2013,42.2604584
ASM,2023,61.0200207
ASM,2022,61.0106572
ASM,2021,61.0985387
ASM,2020,61.1315136
ASM,2019,53.744319
ASM,2018,53.6961704
ASM,2017,53.6784118
ASM,2016,57.3698043
ASM,2015,57.3289815
ASM,2014,57.1544045
ASM,2013,63.7510173
AND,2023,72.2237825
AND,2022,72.2144174
AND,2021,72.3022989
AND,2020,72.3352738
AND,2019,76.1518456
AND,2018,76.103697
AND,2017,76.0859384
AND,2016,72.3081548
AND,2015,72.2673337
AND,2014,72.0927566
AND,2013,83.357609
AGO,2023,40.6000338
AGO,2022,41.2696867
AGO,2021,41.4788741
AGO,2020,38.47815
AGO,2019,39.15311
AGO,2018,38.1066148
AGO,2017,36.2526969
AGO,2016,36.2458363
AGO,2015,37.6641444
AGO,2014,38.6632529
AGO,2013,37.5461789
ATG,2023,64.6708822
ATG,2022,62.1881673
ATG,2021,63.7642889
ATG,2020,63.9489596
ATG,2019,63.9907886
ATG,2018,62.5055435
ATG,2017,58.3079325
ATG,2016,58.1375886
ATG,2015,58.1167608
ATG,2014,60.8889965
ATG,2013,63.7510173
ARG,2023,46.8743591
ARG,2022,45.7273179
ARG,2021,45.651899
ARG,2020,46.2329181
ARG,2019,47.779716
ARG,2018,51.8641165
ARG,2017,52.9645137
ARG,2016,50.8772845
ARG,2015,42.2878376
ARG,2014,38.8903487
ARG,2013,41.6864639
ARM,2023,56.383805
ARM,2022,56.0981042
ARM,2021,57.9730706
ARM,2020,58.1448229
ARM,2019,58.9376649
ARM,2018,59.3615549
ARM,2017,59.0556225
ARM,2016,58.6871784
ARM,2015,58.2205668
ARM,2014,56.8089899
ARM,2013,60.2906651
ABW,2023,70.3232253
ABW,2022,70.3189387
ABW,2021,70.3591763
ABW,2020,70.3742727
ABW,2019,70.4118087
ABW,2018,70.3897634
ABW,2017,74.8303646
ABW,2016,76.2934998
ABW,2015,76.2748091
ABW,2014,74.4849705
ABW,2013,77.9327513
AUS,2023,83.4581518
AUS,2022,83.2556593
AUS,2021,83.0307116
AUS,2020,82.7534122
AUS,2019,83.9863619
AUS,2018,83.6957403
AUS,2017,83.6562582
AUS,2016,83.4731725
AUS,2015,82.3013543
AUS,2014,82.4143865
AUS,2013,84.5216155
AUT,2023,77.1335739
AUT,2022,76.9614999
AUT,2021,77.7026825
AUT,2020,78.1052433
AUT,2019,79.4483832
AUT,2018,79.0042947
AUT,2017,77.262734
AUT,2016,76.8100422
AUT,2015,75.0857528
AUT,2014,75.6611857
AUT,2013,77.2170032
AZE,2023,55.5445036
AZE,2022,53.9065375
AZE,2021,53.9246857
AZE,2020,53.1975112
AZE,2019,53.2144403
AZE,2018,51.7004974
AZE,2017,51.9392436
AZE,2016,51.4454594
AZE,2015,50.7335643
AZE,2014,50.4938481
AZE,2013,48.7124189
BHS,2023,53.3768433
BHS,2022,53.8042378
BHS,2021,54.5414492
BHS,2020,54.6825419
BHS,2019,54.8000153
BHS,2018,57.0956828
BHS,2017,55.9931706
BHS,2016,58.3069374
BHS,2015,57.7939845
BHS,2014,60.4896673
BHS,2013,61.7920617
BHR,2023,69.2086259
BHR,2022,68.5806994
BHR,2021,67.424547
BHR,2020,63.6219613
BHR,2019,63.0678924
BHR,2018,62.6920421
BHR,2017,62.6880582
BHR,2016,63.28286
BHR,2015,66.4860355
BHR,2014,64.7452019
BHR,2013,67.794789
BGD,2023,40.654144
BGD,2022,40.2892485
BGD,2021,41.1231008
BGD,2020,40.7595081
BGD,2019,40.8335313
BGD,2018,42.4744798
BGD,2017,43.1432085
BGD,2016,42.8886546
BGD,2015,42.6114025
BGD,2014,40.7237543
BGD,2013,39.8878863
BRB,2023,61.632753
BRB,2022,61.2337061
BRB,2021,62.371663
BRB,2020,61.1944022
BRB,2019,60.5560445
BRB,2018,61.5208185
BRB,2017,61.9449799
BRB,2016,63.3748484
BRB,2015,64.0074133
BRB,2014,60.6070272
BRB,2013,65.722019
BLR,2023,36.3281553
BLR,2022,37.8914926
BLR,2021,42.336188
BLR,2020,44.0894827
BLR,2019,46.856785
BLR,2018,42.4297946
BLR,2017,40.9573889
BLR,2016,40.4435324
BLR,2015,39.0507961
BLR,2014,40.7523794
BLR,2013,38.5295412
BEL,2023,75.2301559
BEL,2022,77.0684112
BEL,2021,76.8702874
BEL,2020,75.7413392
BEL,2019,75.1924417
BEL,2018,74.8669275
BEL,2017,74.9044429
BEL,2016,75.7427933
BEL,2015,73.4163905
BEL,2014,69.6027695
BEL,2013,72.5424834
BLZ,2023,47.0872812
BLZ,2022,45.1243181
BLZ,2021,45.2938499
BLZ,2020,45.7744666
BLZ,2019,45.7954221
BLZ,2018,44.4053385
