iso3,year,rule_of_law_score
AFG,2023,24.3193623
AFG,2022,24.9753672
AFG,2021,27.3576848
AFG,2020,28.4695599
AFG,2019,28.4439091
AFG,2018,28.27664
AFG,2017,29.511933
AFG,2016,29.7699576
AFG,2015,28.6914007
AFG,2014,28.7803146
AFG,2013,27.6685806
ALB,2023,54.3312817
ALB,2022,54.7107003
ALB,2021,53.4957451
ALB,2020,52.5460654
ALB,2019,51.9490278
ALB,2018,53.9639778
ALB,2017,53.4236323
ALB,2016,53.4166241
ALB,2015,53.0614416
ALB,2014,52.2072847
ALB,2013,48.6825327
DZA,2023,44.3500497
DZA,2022,43.223943
DZA,2021,43.9649172
DZA,2020,43.6316749
DZA,2019,42.4090971
DZA,2018,42.2739483
DZA,2017,42.0323238
DZA,2016,42.1532807
DZA,2015,41.863492
DZA,2014,42.5745539
DZA,2013,44.6601039
ASM,2023,77.451965
ASM,2022,77.4707384
ASM,2021,77.5397482
ASM,2020,77.6519861
ASM,2019,80.5861133
ASM,2018,79.7988389
ASM,2017,79.7610924
ASM,2016,79.7993741
ASM,2015,79.7837313
ASM,2014,79.6888264
ASM,2013,74.7025552
AND,2023,81.2323803
AND,2022,81.2461127
AND,2021,84.7310822
AND,2020,84.8342983
AND,2019,84.8051674
AND,2018,84.8085442
AND,2017,84.5534058
AND,2016,84.5754407
AND,2015,84.5664361
AND,2014,84.511811
AND,2013,81.922607
AGO,2023,36.4075028
AGO,2022,36.9565122
AGO,2021,38.0671258
AGO,2020,40.6575036
AGO,2019,38.8595978
AGO,2018,37.851326
AGO,2017,34.0451221
AGO,2016,34.095534
AGO,2015,34.4422729
AGO,2014,34.501297
AGO,2013,33.5138518
ATG,2023,67.6096233
ATG,2022,67.6358473
ATG,2021,66.717966
ATG,2020,67.1187809
ATG,2019,67.1106007
ATG,2018,66.9759872
ATG,2017,68.2494243
ATG,2016,72.5767958
ATG,2015,72.6159846
ATG,2014,66.4860226
ATG,2013,74.5675441
ARG,2023,52.8724561
ARG,2022,51.9503978
ARG,2021,51.7343949
ARG,2020,51.9641457
ARG,2019,51.145331
ARG,2018,53.4845358
ARG,2017,53.9957849
ARG,2016,52.8928335
ARG,2015,48.9217959
ARG,2014,44.4013496
ARG,2013,47.0542246
ARM,2023,53.3368421
ARM,2022,52.8574311
ARM,2021,55.194753
ARM,2020,55.6708338
ARM,2019,52.6966642
ARM,2018,53.2014077
ARM,2017,51.4692278
ARM,2016,51.6628534
ARM,2015,50.1436904
ARM,2014,49.8307482
ARM,2013,51.7673172
ABW,2023,77.9639129
ABW,2022,77.9707954
ABW,2021,77.9330971
ABW,2020,79.2321662
ABW,2019,79.2192254
ABW,2018,79.2207245
ABW,2017,79.2090057
ABW,2016,79.2208914
ABW,2015,79.2160346
ABW,2014,74.3400737
ABW,2013,80.0618924
AUS,2023,82.8355625
AUS,2022,82.2979363
AUS,2021,83.9886779
AUS,2020,83.678109
AUS,2019,85.091495
AUS,2018,85.1195657
AUS,2017,84.9097362
AUS,2016,86.7190682
AUS,2015,86.5290001
AUS,2014,86.779581
AUS,2013,85.1158602
AUT,2023,85.4952977
AUT,2022,85.2240691
AUT,2021,86.5103437
AUT,2020,87.0508768
