rank,Country,ISO3,Project_007_Region,market_attractiveness_score,n_pillars_available,score_market_size,score_market_growth,score_spending_power,score_digital_readiness,score_market_stability
1,United States,USA,North America,87.12996639128578,5,100.0,74.46701137218628,92.82814132665246,93.0253541018737,75.32932515571649
2,Switzerland,CHE,Europe,71.63950109040516,5,2.404964690648256,68.38737679037146,93.07029539548846,97.13917961335672,97.19568896216092
3,Norway,NOR,Europe,69.97156595720568,5,1.060154572115926,72.98952018673724,79.84238255540855,98.9227381282598,97.0430343435069
4,Luxembourg,LUX,Europe,69.81913603318746,5,0.15449187567968403,75.66891965359261,76.86709826640057,99.29746947405731,97.10770089620712
5,Australia,AUS,Oceania,67.38793918225238,5,4.652107150304586,72.48624609868301,70.01611100975914,95.81600805123244,93.96922360128275
6,Iceland,ISL,Europe,66.33880609267355,5,0.08093832837735018,77.72575084182711,62.29380566629954,97.79010012426211,93.80343550260166
7,New Zealand,NZL,Oceania,64.82004833662396,5,0.7812260049821758,77.65047524259602,53.123740641880765,92.81044690315669,99.7343528905041
8,Denmark,DNK,Europe,64.60720169663357,5,0.9553696832544636,68.58665064973852,54.812999639396054,98.68098851077882,100.0
9,United Kingdom,GBR,Europe,64.35808569497446,5,11.277515535974663,69.40909462452328,61.2620353507958,95.09542622166477,84.74635674191381
10,Ireland,IRL,Europe,63.50645724388892,5,0.8240249177412118,76.96574254347766,48.851980253556334,96.6239565395447,94.26658196512469
11,Singapore,SGP,South & Southeast Asia,63.361073451404465,5,0.85436421548495,75.07879650295584,48.52079240026115,93.84363705929995,98.50777707902049
12,Canada,CAN,North America,63.260803596811954,5,6.477400731523399,72.58922576090913,55.00925395337575,93.69294060792602,88.5351969303255
13,Qatar,QAT,Middle East,62.85667812392106,4,0.24302473149274156,74.59547554913264,,97.8864089198771,78.70180329518176
14,"Hong Kong SAR, China",HKG,East Asia,62.52085198350947,5,1.4147461364608465,70.85662571266418,62.00972767560903,95.6670466746235,82.65611371818984
15,Sweden,SWE,Europe,62.359963076554436,5,1.399302310308676,70.67971011513401,51.15291762307621,95.37128962194217,93.1965957123111
16,United Arab Emirates,ARE,Middle East,62.338150933464,5,1.2442163312090941,86.7415041568603,46.89394301451777,100.0,76.81109116473282
17,Germany,DEU,Europe,61.791061516609645,5,12.736281393210094,67.8784983084916,48.47324362903674,91.8950661399397,87.97221811237014
18,Netherlands,NLD,Europe,61.388686663607146,5,2.70331965412697,69.68265729764265,45.556441174328725,96.7755343765382,92.22548081539917
19,Finland,FIN,Europe,61.1784545633093,5,0.8025670239366156,66.04635499940376,48.275899743840405,93.01270069132649,97.75475035803926
20,San Marino,SMR,Europe,60.53497002096293,5,0.003125009975144733,73.81469693506975,42.52714950341763,97.13060098867017,89.19927766768193
21,Austria,AUT,Europe,60.19202973654275,5,1.4170944104475884,66.9392394264155,47.708778891391205,94.97420616576258,89.92082978869686
22,Bermuda,BMU,North America,60.170345387700635,4,0.019803548391249873,62.852439299030074,100.0,,77.80913870338124
23,"Korea, Rep.",KOR,East Asia,58.737638512622446,5,4.891773310025529,71.87391940494832,35.57722772786527,97.21632097298702,84.12895114728609
24,Japan,JPN,East Asia,58.70419354212974,5,12.478095674805537,63.10902100477378,40.44586563907621,83.85169833173143,93.63628706026174
25,Belgium,BEL,Europe,58.181383771207166,5,1.7854687306499801,68.31297010529579,45.93347218127774,94.21104987841858,80.66395796039374
26,Brunei Darussalam,BRN,South & Southeast Asia,57.1192626826565,5,0.021123806189576492,86.0627840383098,19.490610175807774,98.89084610685242,81.13094928612293
27,"Macao SAR, China",MAC,East Asia,57.10795369158311,5,0.07623031453844509,71.33439518670977,40.67193704545222,89.04034116446311,84.41686474675198
28,Malta,MLT,Europe,56.91339812830737,5,0.053522486804006855,84.15911281740814,32.35832423780224,91.46016697794406,76.53586412157838
29,Estonia,EST,Europe,56.29986061138337,5,0.11707681266128143,76.11241617561686,22.640351845700412,92.65674192092845,89.97271630200986
30,France,FRA,Europe,56.26880571933079,5,8.868081597563899,67.96486826885237,43.124471609771845,85.81927367538935,75.56733344507651
31,Cyprus,CYP,Middle East,56.26702393636896,5,0.10711500936665905,77.79613468379983,39.6312318111753,90.54280520044225,73.25783297706072
32,China,CHN,East Asia,55.65912000747676,5,38.385209987610565,91.37876596113962,10.132752257439334,89.87371227981978,48.52515955137447
33,Spain,ESP,Europe,54.675328556066304,5,4.76466392946962,69.08517780278757,32.50584543122142,95.09375452237923,71.92720109447367
34,Lithuania,LTU,Europe,54.31790806113743,5,0.2380630306260181,74.47067605494155,21.79391234774101,87.61455347605501,87.47233539632354
