ISO3,Country,Year,Project_007_Region,Official_Region,Sub_Region,population_total,urban_population_pct,population_65_plus_pct,age_dependency_ratio_pct,gdp_current_usd,gdp_per_capita_current_usd,gdp_per_capita_ppp_current_intl,household_consumption_expenditure_current_usd,household_consumption_expenditure_constant_2015_usd,household_consumption_expenditure_per_capita_constant_2015_usd,consumption_per_capita_check_usd,household_consumption_pct_of_gdp,consumption_growth_yoy_real_pct,consumption_cagr_2013_2023_real_pct,cagr_start_year,cagr_end_year,inflation_cpi_annual_pct,unemployment_pct_of_labor_force,internet_users_pct_of_population,global_consumption_share_pct,regional_consumption_share_pct,cluster,pca1,pca2
AGO,Angola,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,36749906.0,69.8515032220457,2.81144936806097,90.0552252752265,106042349567.303,2885.51349130806,9549.79313920752,62470228482.0689,101480425983.909,2761.37919873614,1699.8745107557254,58.9106415851529,13.746071951436424,5.877043034257001,2013.0,2023.0,13.6441017767715,14.051,37.88589859,0.1056543217247401,3.772989506504338,0,-1.5530599898289474,-0.3715082173620501
ALB,Albania,2023,Europe,Europe & Central Asia,Southern Europe,2411658.0,58.2106086137857,16.3020000675759,50.0239189058889,23491242727.4082,9740.7023414631,24847.5057998051,16433006826.9661,10615899818.6736,4401.90931660859,6813.987234908972,69.9537568857223,2.743750678557744,2.365629089191401,2013.0,2023.0,4.75834555150038,10.669,83.13559161,0.0277927299513476,0.1163044973493437,3,-0.1949708206626837,0.0917596678419101
ARE,United Arab Emirates,2023,Middle East,"Middle East, North Africa, Afghanistan & Pakistan",Western Asia,10483751.0,85.6680699002526,1.69563170962521,22.0026623838262,522622268401.125,49850.6945082084,78019.5228244288,234510006807.352,240145181814.662,22906.4179237624,22368.902772237918,44.8717976608222,14.109895992318444,5.9380907504454905,2013.0,2023.0,1.62670837213248,2.151,100.0,0.3966208593907545,10.179808907139137,2,2.1089180529915637,-1.4908151229150495
ARG,Argentina,2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,45538401.0,92.1945132257907,12.2030217969226,52.4243366823125,649461687959.174,14261.8465667948,30246.4069577192,426275460474.42,395024194979.691,8674.52932701109,9360.791137010276,65.6351973299487,0.9718203236797508,-0.0090080872798048,2013.0,2023.0,133.488935594175,6.139,89.22897166,0.7209489342151759,9.665414920924045,1,1.173850351966584,5.45731428540577
ARM,Armenia,2023,Middle East,Europe & Central Asia,Western Asia,2964300.0,65.6956882008852,13.2110458915952,48.7129653645231,24185982215.6543,8159.08720967996,21551.7793903081,16050194404.8104,10581086980.6675,3569.50611634028,5414.497319707992,66.3615571271776,6.400000000000228,1.9189663388089693,2013.0,2023.0,1.98041877615554,12.405,79.99663036,0.0271452889575585,0.696720426508816,3,-0.11992263103121213,0.2033540472756024
AUS,Australia,2023,Oceania,East Asia & Pacific,Australia and New Zealand,26659922.0,87.4866955653765,17.384024966198,54.8330501591457,1734451264655.6,65058.3773146674,72272.7092136683,876316816756.182,909239372579.777,34105.1025047927,32870.19432225578,50.524153351186,6.58116873731962,2.260253548651181,2013.0,2023.0,5.59701792296707,3.668,96.1160965,1.482092528554355,83.63387718876193,2,2.9856802824770594,-0.3861001312139151
AUT,Austria,2023,Europe,Europe & Central Asia,Western Europe,9131761.0,69.2265358276021,20.1640196753077,52.5940837665189,516670509628.876,56579.504175468,74261.1961105071,267068071145.689,212779754245.907,23301.0647394196,29246.064493550475,51.690209943959,-0.229073549769998,0.8291333672691303,2013.0,2023.0,7.81413417002831,5.264,95.33467117,0.4516854923834899,1.8901725107110372,2,2.2203638512818973,0.13683998299296665
BDI,Burundi,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,13689450.0,23.5534768372276,2.51029451549531,91.846666183644,3419558408.35408,249.795164039029,1147.42440486734,1986200811.62555,2661594589.43275,194.42670008165,145.08989123927915,58.0835468922888,2.199999998898261,1.4562866185215515,2013.0,2023.0,26.9414835762453,0.911,7.172299862,0.0033592113341102,0.1199597792766935,0,-2.9355488074303926,1.229925168672434
BEL,Belgium,2023,Europe,Europe & Central Asia,Western Europe,11779946.0,87.551492636772,20.1452749547016,57.321807211007,650779364363.737,55244.68145811,72629.6179311762,336443869804.32,264356550636.968,22441.2362023534,28560.731076723103,51.6986075815816,1.0716567813051192,1.1835540151039714,2013.0,2023.0,4.04901077613941,5.547,94.62625074,0.5690190307663967,2.381179267792208,2,2.519581759931706,0.03333287681399192
BEN,Benin,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,14111034.0,51.7457922964593,3.08788133145022,81.5677814531873,19673291004.1444,1394.17784721831,4133.3701351778,11926053876.8641,11744354896.0359,832.281666675589,845.1580427673904,60.6205330585091,6.040104460971851,4.11805424889351,2013.0,2023.0,2.73870078406075,1.641,32.39400101,0.0201702341071868,0.7202931256178977,0,-2.032403623814913,-0.29057432068431965
